Unique_reaction_id,Subsystem name,TPR,FPR,FNR,TNR,Precision,Recall,F1
0,Acyl-CoA hydrolysis,0,5,1,112,0.0,0.0,0.0
1,"Alanine, aspartate and glutamate metabolism",1,15,0,102,0.0625,1.0,0.11764705882352941
2,Arachidonic acid metabolism,1,2,0,115,0.3333333333333333,1.0,0.4
3,Arginine and proline metabolism,1,11,0,106,0.08333333333333333,1.0,0.15384615384615385
4,Ascorbate and aldarate metabolism,1,47,0,70,0.020833333333333332,1.0,0.04081632653061225
5,Beta oxidation of phytanic acid (peroxisomal),0,4,1,113,0.0,0.0,0.0
6,Bile acid biosynthesis,1,2,0,115,0.3333333333333333,1.0,0.5
7,Biopterin metabolism,1,3,0,114,0.25,1.0,0.33333333333333337
8,Blood group biosynthesis,1,5,0,112,0.16666666666666666,1.0,0.2857142857142857
9,C5-branched dibasic acid metabolism,1,6,0,111,0.14285714285714285,1.0,0.25
10,Carnitine shuttle (cytosolic),0,7,1,110,0.0,0.0,0.0
11,Carnitine shuttle (endoplasmic reticular),1,11,0,106,0.08333333333333333,1.0,0.15384615384615385
12,Carnitine shuttle (peroxisomal),0,2,1,115,0.0,0.0,0.0
13,Cholesterol metabolism,1,5,0,112,0.16666666666666666,1.0,0.2857142857142857
14,Cysteine and methionine metabolism,1,6,0,111,0.14285714285714285,1.0,0.2222222222222222
15,Drug metabolism,1,0,0,117,1.0,1.0,1.0
16,Eicosanoid metabolism,1,4,0,113,0.2,1.0,0.33333333333333337
17,Estrogen metabolism,0,3,1,114,0.0,0.0,0.0
18,Fatty acid activation (cytosolic),1,9,0,108,0.1,1.0,0.16666666666666669
19,Fatty acid oxidation,1,4,0,113,0.2,1.0,0.2857142857142857
20,Folate metabolism,1,0,0,117,1.0,1.0,1.0
21,Formation and hydrolysis of cholesterol esters,0,4,1,113,0.0,0.0,0.0
22,Fructose and mannose metabolism,1,6,0,111,0.14285714285714285,1.0,0.25
23,Glycerolipid metabolism,1,16,0,101,0.058823529411764705,1.0,0.1
24,"Glycine, serine and threonine metabolism",1,4,0,113,0.2,1.0,0.33333333333333337
25,Glycosphingolipid biosynthesis-lacto and neolacto series,1,3,0,114,0.25,1.0,0.4
26,Inositol phosphate metabolism,1,6,0,111,0.14285714285714285,1.0,0.25
27,Leukotriene metabolism,1,3,0,114,0.25,1.0,0.4
