Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	unique_id
prerank	Aminoacyl-tRNA biosynthesis	0.6410162186631273	1.6795001484843486	0.0	0.24272852636751252	0.129	14/23	18.93%	MAM02426;MAM02770;MAM02360;MAM01369;MAM02471;MAM02125;MAM01365;MAM03101;MAM01628;MAM01371;MAM01986;MAM03089;MAM01975;MAM02993	Acyl-CoA hydrolysis
prerank	Beta oxidation of even-chain fatty acids (mitochondrial)	0.6851308596841427	1.534319451802616	0.024520255863539446	0.7228241056285564	0.436	3/9	6.80%	MAM01773;MAM00866;MAM01802	Acyl-CoA hydrolysis
prerank	Prostaglandin biosynthesis	0.5419357020679468	1.4965697152583086	0.003	0.7174626321545753	0.548	19/39	28.27%	MAM02776;MAM02780;MAM02781;MAM00384;MAM02792;MAM01168;MAM02786;MAM01362;MAM00385;MAM01696;MAM01797;MAM02795;MAM02785;MAM02631;MAM02995;MAM02441;MAM00308;MAM02554;MAM00635	Acyl-CoA hydrolysis
prerank	Thiamine metabolism	0.6326372676947309	1.4362542280539223	0.05157894736842105	0.9365519345686252	0.709	4/9	14.80%	MAM02983;MAM02985;MAM01285;MAM01371	Acyl-CoA hydrolysis
prerank	Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)	-0.5197588747488279	-1.4309799789251838	0.09183673469387756	0.12484446287847366	0.18947368421052632	7/7	48.33%	MAM02552;MAM02553;MAM01597;MAM02630;MAM02041;MAM02039;MAM02040	Acyl-CoA hydrolysis
prerank	Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)	-0.5197588747488279	-1.4309799789251838	0.09183673469387756	0.12484446287847366	0.18947368421052632	7/7	48.33%	MAM02552;MAM02553;MAM01597;MAM02630;MAM02041;MAM02039;MAM02040	Acyl-CoA hydrolysis
prerank	Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal)	-0.5197588747488279	-1.4309799789251838	0.09183673469387756	0.12484446287847366	0.18947368421052632	7/7	48.33%	MAM02552;MAM02553;MAM01597;MAM02630;MAM02041;MAM02039;MAM02040	Acyl-CoA hydrolysis
prerank	Beta oxidation of odd-chain fatty acids (peroxisomal)	-0.5197588747488279	-1.4309799789251838	0.09183673469387756	0.12484446287847366	0.18947368421052632	7/7	48.33%	MAM02552;MAM02553;MAM01597;MAM02630;MAM02041;MAM02039;MAM02040	Acyl-CoA hydrolysis
prerank	Protein assembly	0.5011513576437094	1.3938699034544284	0.019	0.9151872751192759	0.821	15/40	18.93%	MAM02426;MAM02770;MAM02360;MAM01369;MAM02471;MAM02125;MAM01365;MAM03101;MAM01628;MAM01285;MAM01371;MAM01986;MAM03089;MAM01975;MAM02993	Acyl-CoA hydrolysis
prerank	Protein degradation	0.5011513576437094	1.3938699034544284	0.019	0.9151872751192759	0.821	15/40	18.93%	MAM02426;MAM02770;MAM02360;MAM01369;MAM02471;MAM02125;MAM01365;MAM03101;MAM01628;MAM01285;MAM01371;MAM01986;MAM03089;MAM01975;MAM02993	Acyl-CoA hydrolysis
