Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	Fatty acid activation (endoplasmic reticular)	-0.4815196202261786	-1.9574693365283178	0.0	0.046960025607712445	0.04	38/60	31.87%	MAM02457;MAM02053;MAM02613;MAM00003;MAM02675;MAM00135;MAM00104;MAM01362;MAM01371;MAM02387;MAM01696;MAM00008;MAM01432;MAM00019;MAM01689;MAM02938;MAM02646;MAM01932;MAM02494;MAM01585;MAM00017;MAM00114;MAM01784;MAM02456;MAM01741;MAM02385;MAM03153;MAM02674;MAM01334;MAM01584;MAM02759;MAM00111;MAM02389;MAM00132;MAM01373;MAM00341;MAM00117;MAM00094
prerank	Fatty acid activation (cytosolic)	-0.4480560090720964	-1.9451977621143697	0.0	0.02793311868044964	0.047	43/73	31.87%	MAM02457;MAM02053;MAM02613;MAM00003;MAM02675;MAM00135;MAM00104;MAM01362;MAM01371;MAM02387;MAM01696;MAM00008;MAM02614;MAM01432;MAM00019;MAM01689;MAM02938;MAM01648;MAM02646;MAM01932;MAM02494;MAM01585;MAM00017;MAM00114;MAM01784;MAM02642;MAM02456;MAM01741;MAM02385;MAM03153;MAM02674;MAM00260;MAM01334;MAM01584;MAM02759;MAM00111;MAM02389;MAM00132;MAM01373;MAM00341;MAM03117;MAM00117;MAM00094
prerank	Formation and hydrolysis of cholesterol esters	-0.42618642008653823	-1.7788652603516868	0.00558659217877095	0.1130819007450087	0.201	38/65	31.87%	MAM02457;MAM02053;MAM02613;MAM00003;MAM02675;MAM00135;MAM00104;MAM01362;MAM02387;MAM01696;MAM00008;MAM01504;MAM01432;MAM00019;MAM01689;MAM02938;MAM02646;MAM01932;MAM02494;MAM01585;MAM00017;MAM00114;MAM01784;MAM02456;MAM01741;MAM02385;MAM03153;MAM02674;MAM00260;MAM02039;MAM01584;MAM00111;MAM02389;MAM00132;MAM01373;MAM00341;MAM00117;MAM00094
prerank	Acyl-CoA hydrolysis	-0.4176542158493608	-1.7483899900330653	0.00558659217877095	0.10970833568698336	0.236	29/66	22.40%	MAM02772;MAM02457;MAM02053;MAM02613;MAM00003;MAM02675;MAM00135;MAM00104;MAM01362;MAM02387;MAM01696;MAM00008;MAM01432;MAM00019;MAM01689;MAM02938;MAM02646;MAM01932;MAM02494;MAM01585;MAM00017;MAM00114;MAM01784;MAM02456;MAM01741;MAM02385;MAM03153;MAM02674;MAM00260
prerank	Chondroitin sulfate degradation	0.5897780511926151	1.5854184115663428	0.02891156462585034	1.0	0.534	9/13	28.93%	MAM01543;MAM01517;MAM01910;MAM01525;MAM01554;MAM01758;MAM02384;MAM02525;MAM02040
prerank	Peptide metabolism	0.3166357414227628	1.517118066009542	0.0	1.0	0.681	67/269	17.60%	MAM03673;MAM03663;MAM02426;MAM03438;MAM03671;MAM04031;MAM03994;MAM03468;MAM03717;MAM02360;MAM03616;MAM03461;MAM04014;MAM03412;MAM04047;MAM02125;MAM01365;MAM03880;MAM03879;MAM04032;MAM03601;MAM04017;MAM03101;MAM03983;MAM03610;MAM03874;MAM03898;MAM04063;MAM04071;MAM01628;MAM03416;MAM03469;MAM03625;MAM04013;MAM03535;MAM03890;MAM03873;MAM01986;MAM03089;MAM03697;MAM04015;MAM03600;MAM03459;MAM01975;MAM04009;MAM02993;MAM03617;MAM03445;MAM04011;MAM03720;MAM04055;MAM03599;MAM03677;MAM04024;MAM03611;MAM03926;MAM03532;MAM03888;MAM03864;MAM03448;MAM03463;MAM03929;MAM03719;MAM03607;MAM03668;MAM04010;MAM03694
prerank	Pyruvate metabolism	0.44810173859836255	1.4617371031023896	0.06622516556291391	1.0	0.787	13/29	21.87%	MAM01716;MAM01285;MAM01252;MAM02696;MAM01690;MAM02034;MAM02554;MAM02771;MAM02633;MAM02046;MAM01256;MAM01249;MAM02439
prerank	Aminoacyl-tRNA biosynthesis	0.45640067087732084	1.4377183004494871	0.06710310965630115	1.0	0.817	10/23	11.40%	MAM02426;MAM02360;MAM02125;MAM01365;MAM03101;MAM01628;MAM01986;MAM03089;MAM01975;MAM02993
prerank	Protein degradation	0.3730929671911436	1.3252662130229742	0.10586319218241043	1.0	0.944	11/40	11.40%	MAM02426;MAM02360;MAM02125;MAM01365;MAM03101;MAM01628;MAM01285;MAM01986;MAM03089;MAM01975;MAM02993
prerank	Protein assembly	0.3730929671911436	1.3252662130229742	0.10586319218241043	1.0	0.944	11/40	11.40%	MAM02426;MAM02360;MAM02125;MAM01365;MAM03101;MAM01628;MAM01285;MAM01986;MAM03089;MAM01975;MAM02993
prerank	Chondroitin / heparan sulfate biosynthesis	0.49444748398372107	1.2980772965416876	0.15202702702702703	1.0	0.956	5/12	15.13%	MAM01543;MAM01517;MAM01252;MAM01525;MAM01554
prerank	Ubiquinone synthesis	-0.3992220659280738	-1.2317976853092476	0.19194312796208532	1.0	0.94	7/17	25.47%	MAM00981;MAM01371;MAM03103;MAM00995;MAM02039;MAM01334;MAM02759
prerank	Glycerophospholipid metabolism	0.3288891085503573	1.2287226007349115	0.16534181240063592	1.0	0.983	22/50	28.93%	MAM01260;MAM03619;MAM01802;MAM01285;MAM01252;MAM01797;MAM03102;MAM01690;MAM10006;MAM02554;MAM02750;MAM02808;MAM00516;MAM01249;MAM02715;MAM02914;MAM02877;MAM01450;MAM02685;MAM01983;MAM02171;MAM02040
prerank	Arachidonic acid metabolism	0.36102167684872055	1.2256787722710403	0.19718309859154928	1.0	0.984	6/33	8.73%	MAM00380;MAM02364;MAM00365;MAM01802;MAM00309;MAM01054
prerank	Keratan sulfate biosynthesis	-0.46694077971640674	-1.2097647166029577	0.21846846846846846	1.0	0.952	3/9	8.87%	MAM01590;MAM02278;MAM01592
prerank	Valine, leucine, and isoleucine metabolism	0.33801452375850416	1.2005734858048733	0.2037037037037037	1.0	0.99	22/40	32.93%	MAM02360;MAM01285;MAM01986;MAM03102;MAM03400;MAM02554;MAM01306;MAM03135;MAM02046;MAM02479;MAM03862;MAM02325;MAM03189;MAM01392;MAM03186;MAM03212;MAM03176;MAM02040;MAM01013;MAM03399;MAM02041;MAM00784
prerank	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	0.3504269213829571	1.1943288194373074	0.22479338842975208	1.0	0.992	11/35	17.67%	MAM01802;MAM02943;MAM01285;MAM01252;MAM01982;MAM03102;MAM01690;MAM02034;MAM02554;MAM01306;MAM02633
prerank	Tyrosine metabolism	0.3128952896338979	1.1897488037122392	0.2039573820395738	1.0	0.992	15/53	19.20%	MAM02174;MAM00807;MAM03101;MAM00830;MAM02620;MAM01628;MAM02354;MAM03052;MAM01986;MAM00734;MAM03407;MAM02554;MAM01306;MAM03099;MAM02579
prerank	Prostaglandin biosynthesis	0.3330414662150224	1.1827761566619004	0.2106969205834684	1.0	0.993	15/39	19.13%	MAM02780;MAM02781;MAM02792;MAM01168;MAM02786;MAM01797;MAM02795;MAM02785;MAM02995;MAM00308;MAM02441;MAM02554;MAM00635;MAM02794;MAM02778
prerank	Glycerolipid metabolism	0.36599404060314966	1.1679714463322248	0.25	1.0	0.996	10/24	28.93%	MAM01773;MAM01285;MAM01982;MAM01690;MAM10006;MAM02554;MAM01249;MAM02914;MAM01983;MAM02040
prerank	Beta oxidation of phytanic acid (peroxisomal)	-0.3933574069500554	-1.1638583863681937	0.25307125307125306	1.0	0.969	4/15	10.80%	MAM02746;MAM01371;MAM02766;MAM01596
prerank	O-glycan metabolism	-0.3812365518112309	-1.1634437540263756	0.229064039408867	1.0	0.969	7/17	24.20%	MAM01610;MAM01590;MAM01592;MAM01954;MAM01712;MAM01955;MAM02039
prerank	Nucleotide metabolism	-0.2759243708703578	-1.1315920444366039	0.2677165354330709	1.0	0.982	20/54	25.47%	MAM02016;MAM02980;MAM01714;MAM01671;MAM01590;MAM01668;MAM01371;MAM02578;MAM02193;MAM01747;MAM01666;MAM01644;MAM01967;MAM02167;MAM01686;MAM02996;MAM02039;MAM01334;MAM01630;MAM02759
prerank	Blood group biosynthesis	-0.32439969835825677	-1.1113352498618723	0.2965686274509804	1.0	0.989	10/26	27.27%	MAM01590;MAM01592;MAM03098;MAM01915;MAM01853;MAM00744;MAM01852;MAM03577;MAM02039;MAM01948
prerank	Keratan sulfate degradation	0.4137744201326658	1.1077560657297854	0.3264957264957265	1.0	0.999	6/13	22.13%	MAM01801;MAM01910;MAM01159;MAM02237;MAM02288;MAM02303
prerank	Cholesterol metabolism	-0.292581841418466	-1.1001638496414565	0.31386861313868614	1.0	0.991	14/36	25.47%	MAM01362;MAM01371;MAM02387;MAM02343;MAM01596;MAM01689;MAM04080;MAM01932;MAM01585;MAM01784;MAM02336;MAM02039;MAM01334;MAM02759
prerank	Beta oxidation of even-chain fatty acids (mitochondrial)	0.4480611438028564	1.094253359580438	0.3210702341137124	1.0	0.999	2/9	4.60%	MAM01773;MAM01802
prerank	Androgen metabolism	0.3418244013297111	1.0853648497168356	0.3504273504273504	1.0	0.999	8/24	28.93%	MAM01338;MAM00971;MAM01252;MAM02554;MAM01249;MAM02763;MAM02762;MAM02040
prerank	Butanoate metabolism	0.3983456683580744	1.0840606762839946	0.35665529010238906	1.0	0.999	2/13	4.60%	MAM00648;MAM01802
prerank	Lipoic acid metabolism	-0.5538036511096871	-1.072528135542025	0.41810344827586204	1.0	0.992	1/4	24.20%	MAM02039
prerank	Omega-6 fatty acid metabolism	0.413573985603108	1.0688684212553166	0.38028169014084506	1.0	1.0	3/11	15.33%	MAM02444;MAM01802;MAM02554
prerank	Glutathione metabolism	0.3637203210836121	1.0657581689034006	0.37438423645320196	1.0	1.0	4/19	9.40%	MAM00097;MAM01628;MAM01285;MAM01986
prerank	Glycine, serine and threonine metabolism	0.27337931418772365	1.060084895831326	0.36349453978159124	1.0	1.0	16/62	16.67%	MAM01802;MAM01365;MAM01393;MAM01074;MAM01285;MAM01986;MAM01252;MAM02133;MAM02993;MAM01982;MAM02190;MAM00825;MAM03398;MAM02554;MAM02880;MAM01306
prerank	Vitamin A metabolism	0.436633062251756	1.0588740520379272	0.38155515370705245	1.0	1.0	6/9	40.07%	MAM02838;MAM02554;MAM02040;MAM02630;MAM02684;MAM00656
prerank	Biotin metabolism	0.41137942146915846	1.056555975799398	0.3902439024390244	1.0	1.0	3/12	8.60%	MAM02426;MAM02444;MAM01285
prerank	C5-branched dibasic acid metabolism	0.44463625875343893	1.0563973706613798	0.396709323583181	1.0	1.0	3/9	14.27%	MAM02191;MAM01285;MAM02034
prerank	Glycosphingolipid biosynthesis-lacto and neolacto series	-0.32590472878353555	-1.0478759666639894	0.40966921119592875	1.0	0.993	6/20	27.27%	MAM01590;MAM01592;MAM03098;MAM00744;MAM02039;MAM01948
prerank	Hippurate metabolism	-0.4295685414902529	-1.0310218612102655	0.4013452914798206	1.0	0.996	5/8	25.47%	MAM01371;MAM01380;MAM02039;MAM01334;MAM02759
prerank	Xenobiotics metabolism	-0.25152972294367937	-1.0303386684755178	0.3862928348909657	1.0	0.996	12/58	16.27%	MAM03737;MAM00998;MAM01344;MAM01020;MAM02150;MAM01163;MAM00403;MAM02712;MAM00002;MAM03109;MAM02494;MAM01442
prerank	Vitamin B12 metabolism	-0.4746992097217056	-1.028598352213576	0.43015521064301554	1.0	0.996	2/6	24.20%	MAM01371;MAM02039
prerank	Alanine, aspartate and glutamate metabolism	0.28365083541208247	1.023174046190249	0.43492063492063493	1.0	1.0	13/43	19.53%	MAM01638;MAM01641;MAM01365;MAM03101;MAM02943;MAM01285;MAM01252;MAM01975;MAM02554;MAM03277;MAM01306;MAM02633;MAM02046
prerank	Glycosphingolipid biosynthesis-ganglio series	0.3268640194430982	1.0183415350893283	0.4453924914675768	1.0	1.0	12/24	30.53%	MAM02008;MAM01945;MAM02011;MAM01910;MAM02024;MAM01943;MAM02010;MAM02028;MAM01941;MAM02525;MAM02040;MAM01947
prerank	Tryptophan metabolism	-0.31772175117593443	-1.0136501206463133	0.41037735849056606	1.0	0.996	6/21	14.67%	MAM02822;MAM02578;MAM00990;MAM02631;MAM01596;MAM02169
prerank	Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)	0.4709474808743672	1.0128576951083204	0.45183887915936954	1.0	1.0	1/6	4.60%	MAM01802
prerank	Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)	0.4709474808743672	1.0128576951083204	0.45183887915936954	1.0	1.0	1/6	4.60%	MAM01802
