"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","col","Degree","Eccentricity","IsSingleNode","label","ManualCategoryLvl1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","size","Stress","TopologicalCoefficient"
"1.4375","0.050656056955057246","0.6956521739130435","0.5068493150684932","#FF00B6","73","3","false","G_group5","Amino acid metabolism","Amino sugar and nucleotide sugar metabolism","47.35616438356164","0","73","0","0.9950284090909091","false","0","Amino sugar and nucleotide sugar metabolism","64","10932","0.37288318412253263"
"2.953125","0.0","0.3386243386243386","1.0","#FFACFD","2","4","false","G_group79","Energy metabolism","Heme synthesis","9.0","0","2","0","0.9778053977272727","false","0","Heme synthesis","14","0","0.5625"
"1.75","0.0028867224907865897","0.5714285714285714","0.7282282282282282","#005300","37","3","false","G_group6","Protein metabolism","Aminoacyl-tRNA biosynthesis","52.567567567567565","0","37","0","0.9914772727272727","false","0","Aminoacyl-tRNA biosynthesis","63","996","0.42737859811030543"
"1.5546875","0.015058310348055446","0.6432160804020101","0.590373783922171","#FF00B6","63","3","false","G_group3","Amino acid metabolism","Alanine, aspartate and glutamate metabolism","49.46031746031746","0","63","0","0.9936967329545454","false","0","Alanine, aspartate and glutamate metabolism","76","3222","0.40541243819932343"
"0.0","0.0","0.0","0.0","#009FFF","0","0","true","G_group4","Amino acid derivatives","Alkaloids biosynthesis","0.0","0","0","0","Infinity","false","0","Alkaloids biosynthesis","0","0","0.0"
"1.5859375","0.013329445271824504","0.6305418719211823","0.6337662337662338","#FFD300","56","3","false","G_group1","Lipid metabolism","Acyl-CoA hydrolysis","50.660714285714285","0","56","0","0.9933416193181818","false","0","Acyl-CoA hydrolysis","130","4010","0.4052857142857143"
"1.6953125","0.0028139322450597324","0.5898617511520737","0.8478513356562137","#FFD300","42","3","false","G_group2","Lipid metabolism","Acylglycerides metabolism","57.69047619047619","0","42","0","0.9920987215909091","false","0","Acylglycerides metabolism","37","812","0.4615238095238095"
"1.375","0.041744587370167445","0.7272727272727273","0.4971394158386028","#FFD300","82","3","false","G_group70","Lipid metabolism","Glycerophospholipid metabolism","46.80487804878049","0","82","0","0.9957386363636364","false","0","Glycerophospholipid metabolism","160","7562","0.3714672861014324"
"1.3671875","0.034189409874375645","0.7314285714285714","0.5227341162300512","#FF00B6","82","3","false","G_group71","Amino acid metabolism","Glycine, serine and threonine metabolism","48.0609756097561","0","82","0","0.9958274147727273","false","0","Glycine, serine and threonine metabolism","130","6490","0.3813395276809911"
"1.4453125","0.017257637239618682","0.6918918918918919","0.569634703196347","#9A4D42","73","3","false","G_group72","Carbohydrate metabolism","Glycolysis / Gluconeogenesis","49.78082191780822","0","73","0","0.9949396306818182","false","0","Glycolysis / Gluconeogenesis","69","4976","0.39508588823657315"
"2.3125","2.9879077615298086E-5","0.43243243243243246","0.8666666666666667","#B1CC71","6","4","false","G_group73","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis-ganglio series","31.166666666666668","0","6","0","0.9850852272727273","false","0","Glycosphingolipid biosynthesis-ganglio series","27","4","0.3755020080321285"
"2.3046875","7.909167604049493E-5","0.43389830508474575","0.8095238095238095","#B1CC71","7","4","false","G_group74","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis-globo series","27.714285714285715","0","7","0","0.9851740056818182","false","0","Glycosphingolipid biosynthesis-globo series","21","8","0.33390705679862304"
"2.2578125","8.05913952414934E-4","0.4429065743944637","0.5555555555555556","#B1CC71","9","4","false","G_group75","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis-lacto and neolacto series","27.88888888888889","0","9","0","0.9857066761363636","false","0","Glycosphingolipid biosynthesis-lacto and neolacto series","50","112","0.3205619412515964"
"0.0","0.0","0.0","0.0","#FFD300","0","0","true","G_group128","Lipid metabolism","Triacylglycerol synthesis","0.0","0","0","0","Infinity","false","0","Triacylglycerol synthesis","0","0","0.0"
"2.1796875","0.0015850672974501547","0.45878136200716846","0.4393939393939394","#B1CC71","12","4","false","G_group76","Glycan biosynthesis and metabolism","Glycosphingolipid metabolism","22.916666666666668","0","12","0","0.9865944602272727","false","0","Glycosphingolipid metabolism","58","266","0.24551971326164876"
"1.453125","0.02933649910847409","0.6881720430107527","0.5747261345852895","#9A4D42","72","3","false","G_group129","Carbohydrate metabolism","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism","49.888888888888886","0","72","0","0.9948508522727273","false","0","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism","88","5512","0.399"
"1.6171875","0.015825308036556306","0.6183574879227053","0.6704374057315233","#FFD300","52","3","false","G_group77","Lipid metabolism","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","52.86538461538461","0","52","0","0.9929865056818182","false","0","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","47","3556","0.4229230769230769"
"0.0","0.0","0.0","0.0","#F1085C","0","0","true","G_group137","Metabolism of cofactors and vitamins","Vitamin B2 metabolism","0.0","0","0","0","Infinity","false","0","Vitamin B2 metabolism","5","0","0.0"
"2.828125","0.0","0.35359116022099446","0.0","#F1085C","1","4","false","G_group138","Metabolism of cofactors and vitamins","Vitamin B6 metabolism","31.0","0","1","0","0.9792258522727273","false","0","Vitamin B6 metabolism","15","0","0.0"
"2.1875","0.0","0.45714285714285713","1.0","#F1085C","3","4","false","G_group135","Metabolism of cofactors and vitamins","Vitamin A metabolism","55.0","0","3","0","0.9865056818181818","false","0","Vitamin A metabolism","16","0","0.5392156862745098"
"0.0","0.0","0.0","0.0","#F1085C","0","0","true","G_group136","Metabolism of cofactors and vitamins","Vitamin B12 metabolism","0.0","0","0","0","Infinity","false","0","Vitamin B12 metabolism","14","0","0.0"
"2.3203125","0.0","0.43097643097643096","1.0","#009FFF","3","4","false","G_group133","Amino acid derivatives","Urea cycle","53.666666666666664","0","3","0","0.9849964488636364","false","0","Urea cycle","11","0","0.6313725490196078"
"1.4609375","0.009330746934191371","0.6844919786096256","0.6134585289514867","#FF00B6","72","3","false","G_group134","Amino acid metabolism","Valine, leucine, and isoleucine metabolism","51.65277777777778","0","72","0","0.9947620738636364","false","0","Valine, leucine, and isoleucine metabolism","85","3128","0.4132222222222222"
"1.5","0.016141700705195702","0.6666666666666666","0.5408252853380158","#FF00B6","68","3","false","G_group131","Amino acid metabolism","Tyrosine metabolism","47.19117647058823","0","68","0","0.9943181818181818","false","0","Tyrosine metabolism","91","3364","0.3805740037950664"
"1.75","0.004940391507738574","0.5714285714285714","0.7209302325581395","#FF00B6","44","3","false","G_group104","Amino acid metabolism","Phenylalanine metabolism","52.59090909090909","0","44","0","0.9914772727272727","false","0","Phenylalanine metabolism","27","882","0.4533699059561129"
"1.8125","5.344653930795403E-4","0.5517241379310345","0.9174964438122333","#F1085C","38","3","false","G_group132","Metabolism of cofactors and vitamins","Ubiquinone synthesis","57.89473684210526","0","38","0","0.9907670454545454","false","0","Ubiquinone synthesis","27","142","0.5078485687903971"
"1.375","0.03395996927115728","0.7272727272727273","0.49493670886075947","#FF00B6","80","2","false","G_group105","Amino acid metabolism","Phenylalanine, tyrosine and tryptophan biosynthesis","46.8","0","80","0","0.9957386363636364","false","0","Phenylalanine, tyrosine and tryptophan biosynthesis","145","6452","0.365625"
"1.6640625","0.002227096681420879","0.6009389671361502","0.7592156862745097","#FF00B6","51","3","false","G_group130","Amino acid metabolism","Tryptophan metabolism","55.549019607843135","0","51","0","0.9924538352272727","false","0","Tryptophan metabolism","35","846","0.46290849673202616"
"1.859375","0.002395168531271836","0.5378151260504201","0.6495726495726496","#9A4D42","27","3","false","G_group102","Carbohydrate metabolism","Pentose phosphate pathway","51.0","0","27","0","0.990234375","false","0","Pentose phosphate pathway","49","600","0.42857142857142855"
