ID	Name	metabID
MAR07108	benzo[a]pyrene	MAM01374
MAR07110	naphthalene	MAM02556
MAR07112	aflatoxin B1	MAM01296
MAR07114	trichloroethene	MAM03044
MAR07116	bromobenzene	MAM01403
MAR07118	7,12-dimethylbenz[a]anthracene	MAM01174
MAR07120	4-(n-nitrosomethylamino)-1-(3-pyridyl)-1-butanone	MAM00932
MAR07122	1-nitronaphthalene	MAM00545
MAR07124	1,1-dichloroethylene	MAM00228
MAR07126	1,2-dibromoethane	MAM00242
MAR09023	TAG-extraction	MAM02957
MAR09024	chylomicron	MAM01570
MAR09032	SMCFA-blood-pool	MAM02909
MAR09808	propanoate	MAM02772
MAR09809	butyrate	MAM01410
MAR09810	valeric acid	MAM03134
MAR09811	hexanoic acid	MAM02120
MAR09812	heptylic acid	MAM02108
MAR09813	octanoic acid	MAM02642
MAR09814	nonanoic acid	MAM02614
MAR09815	decanoic acid	MAM01648
MAR09816	undecylic acid	MAM03117
MAR09033	NEFA blood pool in	MAM02560
MAR09034	glucose	MAM01965
MAR09035	linoleate	MAM02387
MAR09036	linolenate	MAM02389
MAR09037	phytanic acid	MAM02746
MAR09038	histidine	MAM02125
MAR09039	isoleucine	MAM02184
MAR09040	leucine	MAM02360
MAR09041	lysine	MAM02426
MAR09042	methionine	MAM02471
MAR09043	phenylalanine	MAM02724
MAR09044	threonine	MAM02993
MAR09045	tryptophan	MAM03089
MAR09046	valine	MAM03135
MAR09047	H2O	MAM02040
MAR09048	O2	MAM02630
MAR09049	VLDL	MAM03147
MAR09050	HDL	MAM02048
MAR09051	LDL	MAM02353
MAR09052	chylomicron remnant	MAM01569
MAR09053	VLDL remnant	MAM03146
MAR09054	HDL remnant	MAM02047
MAR09055	LDL remnant	MAM02352
MAR09056	NEFA blood pool out	MAM02561
MAR09058	CO2	MAM01596
MAR09061	alanine	MAM01307
MAR09062	asparagine	MAM01369
MAR09063	glutamine	MAM01975
MAR09064	tyrosine	MAM03101
MAR09065	cysteine	MAM01628
MAR09066	arginine	MAM01365
MAR09067	glycine	MAM01986
MAR09068	proline	MAM02770
MAR09069	serine	MAM02896
MAR09070	aspartate	MAM01370
MAR09071	glutamate	MAM01974
MAR09072	Pi	MAM02751
MAR09073	NH3	MAM02578
MAR09074	sulfate	MAM02946
MAR09075	urate	MAM03120
MAR09076	Fe2+	MAM01821
MAR09078	HCO3-	MAM02046
MAR09079	H+	MAM02039
MAR09083	choline	MAM01513
MAR09084	ethanolamine	MAM01797
MAR09085	glycerol	MAM01983
MAR09086	acetate	MAM01252
MAR09087	ornithine	MAM02658
MAR09088	sulfite	MAM02949
MAR09089	phospholipids extracellular pool	MAM02740
MAR09090	methylimidazoleacetic acid	MAM02477
MAR09091	4-aminobutyrate	MAM00970
MAR09092	dopamine	MAM01736
MAR09093	noradrenaline	MAM02617
MAR09094	5-hydroxy-L-tryptophan	MAM01107
MAR09095	adrenaline	MAM01290
MAR09096	Fe3+	MAM01822
MAR09097	D-aspartate	MAM01641
MAR09098	D-alanine	MAM01638
MAR09099	ethanol	MAM01796
MAR09100	5-formyl-THF	MAM01100
MAR09101	PNP	MAM02754
MAR09102	lactose	MAM02332
MAR09103	H2S	MAM02042
MAR09104	1-methylnicotinamide	MAM00536
MAR09105	thiamin-P	MAM02983
MAR09106	thiamin-PPP	MAM02985
MAR09107	heme	MAM02049
MAR09108	dihydroneopterin	MAM01704
MAR09109	biotin	MAM01401
MAR09110	biocytin	MAM01400
MAR09111	heparan sulfate proteoglycan	MAM02054
MAR09113	keratan sulfate I	MAM02278
MAR09114	keratan sulfate I, degradation product 1	MAM02237
MAR09115	keratan sulfate II (core 2-linked)	MAM02288
MAR09116	keratan sulfate II (core 4-linked)	MAM02303
MAR09117	chondroitin sulfate A (GalNAc4S-GlcA) proteoglycan	MAM01517
MAR09118	chondroitin sulfate B - dermatan sulfate (IdoA2S-GalNAc4S) proteoglycan	MAM01525
MAR09119	chondroitin sulfate C (GalNAc6S-GlcA) proteoglycan	MAM01533
MAR09120	chondroitin sulfate D (GlcNAc6S-GlcA2S) proteoglycan	MAM01543
MAR09121	chondroitin sulfate E (GalNAc4,6diS-GlcA) proteoglycan	MAM01554
MAR09122	hyaluronate	MAM02141
MAR09123	hyaluronan biosynthesis, precursor 1	MAM02139
MAR09124	de-Fuc form of PA6	MAM01652
MAR09125	PA6	MAM02672
MAR09126	n2m2nmasn	MAM02510
MAR09127	sialyl-Tn antigen	MAM02907
MAR09128	disialyl-T antigen	MAM01712
MAR09129	estradiol-17beta 3-glucuronide	MAM01786
