metabolite	subsystem
MAM00001c	Transport reactions
MAM00001c	Xenobiotics metabolism
MAM00001e	Transport reactions
MAM00001e	Exchange/demand reactions
MAM00002c	Xenobiotics metabolism
MAM00002c	Transport reactions
MAM00002e	Exchange/demand reactions
MAM00002e	Transport reactions
MAM00003c	Transport reactions
MAM00003c	Transport reactions
MAM00003c	Acyl-CoA hydrolysis
MAM00003c	Transport reactions
MAM00003c	Pool reactions
MAM00003c	Fatty acid activation (cytosolic)
MAM00003l	Formation and hydrolysis of cholesterol esters
MAM00003l	Transport reactions
MAM00003r	Fatty acid activation (endoplasmic reticular)
MAM00003r	Formation and hydrolysis of cholesterol esters
MAM00003e	Transport reactions
MAM00003e	Transport reactions
MAM00003e	Transport reactions
MAM00003e	Exchange/demand reactions
MAM00003e	Pool reactions
MAM00003e	Transport reactions
MAM00004c	Pool reactions
MAM00004c	Acyl-CoA hydrolysis
MAM00004c	Fatty acid desaturation (odd-chain)
MAM00004c	Fatty acid activation (cytosolic)
MAM00004c	Glycerolipid metabolism
MAM00004c	Carnitine shuttle (cytosolic)
MAM00004c	Pool reactions
MAM00004m	Beta oxidation of odd-chain fatty acids (mitochondrial)
MAM00004m	Carnitine shuttle (mitochondrial)
MAM00004r	Fatty acid activation (endoplasmic reticular)
MAM00004r	Formation and hydrolysis of cholesterol esters
MAM00004r	Carnitine shuttle (endoplasmic reticular)
MAM00005c	Arachidonic acid metabolism
MAM00005c	Artificial reactions
MAM00006c	Pool reactions
MAM00006c	Carnitine shuttle (cytosolic)
MAM00006c	Acyl-CoA hydrolysis
MAM00006c	Glycerolipid metabolism
MAM00006c	Pool reactions
MAM00006c	Fatty acid activation (cytosolic)
MAM00006c	Fatty acid biosynthesis (unsaturated)
MAM00006m	Carnitine shuttle (mitochondrial)
MAM00006m	Beta oxidation of even-chain fatty acids (mitochondrial)
MAM00006r	Fatty acid activation (endoplasmic reticular)
MAM00006r	Formation and hydrolysis of cholesterol esters
MAM00006r	Carnitine shuttle (endoplasmic reticular)
MAM00007c	Glycerolipid metabolism
MAM00007c	Pool reactions
MAM00007c	Fatty acid activation (cytosolic)
MAM00007c	Fatty acid biosynthesis (unsaturated)
MAM00007c	Fatty acid biosynthesis (unsaturated)
MAM00007c	Carnitine shuttle (cytosolic)
MAM00007c	Acyl-CoA hydrolysis
MAM00007c	Pool reactions
MAM00007m	Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)
MAM00007m	Carnitine shuttle (mitochondrial)
MAM00007m	Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)
MAM00007x	Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
MAM00007x	Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
MAM00007r	Formation and hydrolysis of cholesterol esters
MAM00007r	Fatty acid biosynthesis
MAM00007r	Fatty acid activation (endoplasmic reticular)
MAM00007r	Fatty acid biosynthesis
MAM00007r	Carnitine shuttle (endoplasmic reticular)
MAM00008c	Acyl-CoA hydrolysis
MAM00008c	Transport reactions
MAM00008c	Pool reactions
