Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	Pentose phosphate pathway	0.4883990138489962	1.3904992093316466	0.07692307692307693	1.0	0.766	8/22	12.76%	rib_D;arab_L;rbt;nad;udp;xylt;abt;amp
prerank	Vitamin D metabolism	-0.6487226490328345	-1.3768359093757114	0.106	1.0	0.8	2/7	5.26%	h2o;nadp
prerank	Heme degradation	-0.538049166845392	-1.2988886931320693	0.162	1.0	0.889	3/11	5.90%	h2o;nadp;fe2
prerank	Blood group synthesis	0.4589170535530519	1.2934029678699337	0.13293650793650794	1.0	0.884	15/21	43.86%	cmp;udp;gdp;udpgal;galfucgalacglcgal14acglcgalgluside_hs;fucacgalfucgalacglcgalgluside_hs;galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs;fucacngal14acglcgalgluside_hs;fuc14galacglcgalgluside_hs;fucfucfucgalacglcgal14acglcgalgluside_hs;acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs;fucgalfucgalacglcgalgluside_hs;fuc13galacglcgal14acglcgalgluside_hs;galfuc12gal14acglcgalgluside_hs;fucgal14acglcgalgluside_hs
prerank	Vitamin B6 metabolism	-0.4943060912188003	-1.2660732718059127	0.18518518518518517	1.0	0.915	9/13	28.55%	h2o;pydam;pydxn;adp;pydx5p;nh4;4pyrdx;o2;h
prerank	Aminosugar metabolism	0.43343662426820145	1.2629298628502768	0.1627450980392157	1.0	0.911	11/23	23.60%	gam;nad;udp;ctp;acgam;idp;coa;itp;chtn;glu_L;pyr
prerank	Keratan sulfate synthesis	0.688055717215677	1.248354707118372	0.20925553319919518	1.0	0.933	2/4	8.13%	cmp;udp
prerank	Taurine and hypotaurine metabolism	0.524764350185886	1.2050188112887719	0.2505175983436853	1.0	0.962	2/9	5.90%	cysam;nad
prerank	Pyruvate metabolism	-0.416979097364113	-1.188286529033961	0.21244635193133046	1.0	0.969	4/20	5.26%	lac_D;dhap;h2o;nadp
prerank	Cytochrome metabolism	-0.38413662305508134	-1.1837987710507731	0.20040485829959515	1.0	0.97	6/30	12.12%	h2o;4nphsf;nadp;htaxol;4mtolbutamide;hdca
prerank	Glyoxylate and dicarboxylate metabolism	-0.4738005942842427	-1.1703390331919057	0.25918367346938775	1.0	0.973	3/12	5.26%	dhap;h2o;nadp
prerank	Limonene and pinene degradation	-0.5162954082920049	-1.1644663168395657	0.29124236252545826	1.0	0.975	3/9	9.89%	h2o;nadp;appnn
