ID	Hits	Coverage	P-value	P-adjust
	4/257	257/445	0.3082982948192608	0.4475734132840657
Exchange/demand reaction	7/621	621/639	0.9346024026514406	0.9794921751156901
Galactose metabolism	3/17	17/20	0.0005439017010426167	0.00489511530938355
Hyaluronan metabolism	1/6	6/10	0.06539759734855938	0.1708482781594762
Keratan sulfate degradation	1/7	7/72	0.07593256807087831	0.1708482781594762
N-glycan degradation	1/6	6/18	0.06539759734855938	0.1708482781594762
Sphingolipid metabolism	1/37	37/77	0.34811265477649556	0.4475734132840657
Transport, extracellular	2/371	371/407	0.9794921751156901	0.9794921751156901
Transport, lysosomal	1/33	33/59	0.31637419802763	0.4475734132840657
Exchange/demand reaction	17/621	621/639	0.847388341065676	0.9896232016891119
Galactose metabolism	2/17	17/20	0.07410800026556602	0.2964320010622641
Glycolysis/gluconeogenesis	1/32	32/49	0.5944160247890933	0.9896232016891119
N-glycan synthesis	1/14	14/62	0.3222188140298302	0.8592501707462139
Sphingolipid metabolism	1/37	37/77	0.64931324137587	0.9896232016891119
Starch and sucrose metabolism	17/24	24/30	4.283170251579514e-28	3.426536201263611e-27
Transport, endoplasmic reticular	1/69	69/116	0.8659203014779729	0.9896232016891119
Transport, extracellular	1/371	371/407	0.9999998239128026	0.9999998239128026
Exchange/demand reaction	2/621	621/639	0.9809376767506918	0.9809376767506918
Glycine, serine, alanine and threonine metabolism	1/26	26/53	0.08127856673341792	0.24886497393643853
Transport, extracellular	2/371	371/407	0.34973070200916173	0.4371633775114521
Transport, mitochondrial	1/100	100/152	0.2937564649352104	0.4371633775114521
Urea cycle	1/32	32/47	0.09954598957457542	0.24886497393643853
Exchange/demand reaction	2/621	621/639	0.9809376767506918	0.9809376767506918
Heme degradation	1/11	11/14	0.03480746594921809	0.06091306541113166
Heme synthesis	2/10	10/17	0.00022929819465888072	0.0016050873626121652
Miscellaneous	2/33	33/45	0.0026904321506642003	0.006277675018216467
Transport, extracellular	2/371	371/407	0.34973070200916173	0.40801915234402203
Transport, mitochondrial	1/100	100/152	0.2937564649352104	0.40801915234402203
Vitamin B2 metabolism	2/14	14/16	0.0004636919047546254	0.001622921666641189
	4/257	257/445	0.4287155714977105	0.500168166747329
Aminosugar metabolism	1/23	23/40	0.259695141116916	0.3635731975636824
CoA synthesis	1/16	16/21	0.18777314700472356	0.32860300725826624
Exchange/demand reaction	8/621	621/639	0.9255578632709428	0.9460006154891144
Glycerophospholipid metabolism	1/33	33/53	0.35276073264873997	0.4489682051893054
Glycolysis/gluconeogenesis	3/32	32/49	0.005691722537518814	0.013280685920877233
N-glycan synthesis	2/14	14/62	0.012018648850156863	0.024037297700313726
Nucleotide interconversion	6/52	52/78	6.0684146171811805e-06	4.247890232026826e-05
