metabolite	subsystem
10fthf5glu_c	Transport, lysosomal
10fthf5glu_c	Folate metabolism
10fthf5glu_c	Transport, mitochondrial
10fthf5glu_c	Folate metabolism
10fthf5glu_l	Folate metabolism
10fthf5glu_l	Transport, lysosomal
10fthf5glu_l	Folate metabolism
10fthf5glu_m	Folate metabolism
10fthf5glu_m	Transport, mitochondrial
10fthf5glu_m	Folate metabolism
10fthf6glu_c	Transport, lysosomal
10fthf6glu_c	Folate metabolism
10fthf6glu_c	Transport, mitochondrial
10fthf6glu_c	Folate metabolism
10fthf6glu_l	Folate metabolism
10fthf6glu_l	Folate metabolism
10fthf6glu_l	Transport, lysosomal
10fthf6glu_m	Folate metabolism
10fthf6glu_m	Transport, mitochondrial
10fthf6glu_m	Folate metabolism
10fthf7glu_c	Folate metabolism
10fthf7glu_c	Transport, mitochondrial
10fthf7glu_c	Transport, lysosomal
10fthf7glu_l	Transport, lysosomal
10fthf7glu_l	Folate metabolism
10fthf7glu_m	Folate metabolism
10fthf7glu_m	Transport, mitochondrial
10fthf_c	Folate metabolism
10fthf_c	Purine synthesis
10fthf_c	Folate metabolism
10fthf_c	Transport, mitochondrial
10fthf_c	Transport, lysosomal
10fthf_c	Folate metabolism
10fthf_c	Purine synthesis
10fthf_c	Folate metabolism
10fthf_l	Transport, lysosomal
10fthf_l	Folate metabolism
10fthf_m	Folate metabolism
10fthf_m	Folate metabolism
10fthf_m	Transport, mitochondrial
10fthf_m	Folate metabolism
11_cis_retfa_c	Vitamin A metabolism
11_cis_retfa_c	Vitamin A metabolism
11_cis_retfa_c	Transport, extracellular
11_cis_retfa_e	Vitamin A metabolism
11_cis_retfa_e	Transport, extracellular
11_cis_retfa_e	Exchange/demand reaction
11docrtsl_c	Transport, mitochondrial
11docrtsl_c	Transport, endoplasmic reticular
11docrtsl_m	Steroid metabolism
11docrtsl_m	Transport, mitochondrial
11docrtsl_r	Steroid metabolism
11docrtsl_r	Transport, endoplasmic reticular
11docrtstrn_c	Transport, mitochondrial
11docrtstrn_c	Transport, endoplasmic reticular
11docrtstrn_m	Transport, mitochondrial
11docrtstrn_m	Steroid metabolism
11docrtstrn_m	Steroid metabolism
11docrtstrn_r	Transport, endoplasmic reticular
11docrtstrn_r	Steroid metabolism
12ppd_S_c	Pyruvate metabolism
12ppd_S_c	Pyruvate metabolism
13_cis_oretn_c	Vitamin A metabolism
13_cis_oretn_c	Transport, nuclear
13_cis_oretn_c	Vitamin A metabolism
13_cis_oretn_n	Exchange/demand reaction
13_cis_oretn_n	Transport, nuclear
13_cis_retn_c	Vitamin A metabolism
13_cis_retn_c	Transport, endoplasmic reticular
13_cis_retn_c	Vitamin A metabolism
13_cis_retn_c	Vitamin A metabolism
13_cis_retn_c	Transport, nuclear
13_cis_retn_c	Vitamin A metabolism
13_cis_retn_c	Vitamin A metabolism
13_cis_retn_n	Transport, nuclear
13_cis_retn_n	Exchange/demand reaction
13_cis_retn_r	Vitamin A metabolism
13_cis_retn_r	Vitamin A metabolism
13_cis_retn_r	Transport, endoplasmic reticular
13_cis_retn_r	Vitamin A metabolism
13_cis_retnglc_c	Vitamin A metabolism
13_cis_retnglc_c	Transport, endoplasmic reticular
13_cis_retnglc_c	Transport, endoplasmic reticular
13_cis_retnglc_e	Exchange/demand reaction
13_cis_retnglc_e	Transport, endoplasmic reticular
13_cis_retnglc_r	Vitamin A metabolism
13_cis_retnglc_r	Transport, endoplasmic reticular
13dampp_c	Urea cycle
13dampp_c	beta-Alanine metabolism
13dampp_c	beta-Alanine metabolism
13dpg_c	Glycolysis/gluconeogenesis
13dpg_c	Glycolysis/gluconeogenesis
13dpg_c	Glycolysis/gluconeogenesis
13dpg_c	Glycolysis/gluconeogenesis
17ahprgnlone_r	Steroid metabolism
17ahprgnlone_r	Steroid metabolism
17ahprgnlone_r	Steroid metabolism
17ahprgstrn_r	Steroid metabolism
17ahprgstrn_r	Steroid metabolism
17ahprgstrn_r	Steroid metabolism
17ahprgstrn_r	Steroid metabolism
1a25dhvitd3_c	Vitamin D metabolism
1a25dhvitd3_c	Transport, nuclear
1a25dhvitd3_n	Exchange/demand reaction
1a25dhvitd3_n	Transport, nuclear
1glyc_hs_e	Triacylglycerol synthesis
1glyc_hs_e	Exchange/demand reaction
1mncam_c	Transport, extracellular
1mncam_c	NAD metabolism
1mncam_e	Exchange/demand reaction
1mncam_e	Transport, extracellular
1p3h5c_c	Arginine and Proline Metabolism
1p3h5c_c	Arginine and Proline Metabolism
1p3h5c_m	Arginine and Proline Metabolism
1p3h5c_m	Arginine and Proline Metabolism
1p3h5c_m	Arginine and Proline Metabolism
1p3h5c_m	Arginine and Proline Metabolism
1pipdn2c_x	Lysine metabolism
1pipdn2c_x	Lysine metabolism
1pyr5c_c	Arginine and Proline Metabolism
1pyr5c_c	Arginine and Proline Metabolism
1pyr5c_c	Transport, extracellular
1pyr5c_m	Arginine and Proline Metabolism
1pyr5c_m	Arginine and Proline Metabolism
1pyr5c_m	Arginine and Proline Metabolism
1pyr5c_m	Glutamate metabolism
1pyr5c_m	Arginine and Proline Metabolism
20ahchsterol_m	Cholesterol metabolism
20ahchsterol_m	Bile acid synthesis
23cump_e	Exchange/demand reaction
23cump_e	Miscellaneous
23dpg_c	Glycolysis/gluconeogenesis
23dpg_c	Glycolysis/gluconeogenesis
2425dhvitd3_c	Vitamin D metabolism
2425dhvitd3_c	Transport, extracellular
2425dhvitd3_e	Transport, extracellular
2425dhvitd3_e	Exchange/demand reaction
24nph_c	Cytochrome metabolism
24nph_c	Transport, extracellular
24nph_e	Transport, extracellular
24nph_e	Exchange/demand reaction
25aics_c	
25aics_c	Purine synthesis
25hvitd3_c	Vitamin D metabolism
25hvitd3_c	Vitamin D metabolism
25hvitd3_c	Vitamin D metabolism
25hvitd3_c	Transport, extracellular
25hvitd3_e	Exchange/demand reaction
25hvitd3_e	Transport, extracellular
2amac_c	Tyrosine metabolism
2amac_c	Methionine and cysteine metabolism
2amac_c	Tyrosine metabolism
2amac_c	Glycine, serine, alanine and threonine metabolism
2amac_c	Glycine, serine, alanine and threonine metabolism
2aobut_m	Glycine, serine, alanine and threonine metabolism
2aobut_m	Glycine, serine, alanine and threonine metabolism
2c23dh56dhoxin_c	Tyrosine metabolism
2c23dh56dhoxin_c	Tyrosine metabolism
2ddecdicoa_m	Fatty acid oxidation
2ddecdicoa_m	Fatty acid oxidation
2ddecdicoa_x	Fatty acid oxidation
2ddecdicoa_x	Fatty acid oxidation
2decdicoa_m	Fatty acid oxidation
2decdicoa_m	Fatty acid oxidation
2decdicoa_x	Fatty acid oxidation
2decdicoa_x	Fatty acid oxidation
2docohexecoa_m	Fatty acid oxidation
2docohexecoa_m	Fatty acid oxidation
2docopencoa_m	Fatty acid oxidation
2docopencoa_m	Fatty acid oxidation
2docopencoa_x	Fatty acid oxidation
2docopencoa_x	Fatty acid oxidation
2dodtricoa_m	Fatty acid oxidation
2dodtricoa_m	Fatty acid oxidation
2dodtricoa_x	Fatty acid oxidation
2dodtricoa_x	Fatty acid oxidation
2dp6mep_m	Ubiquinone synthesis
2dp6mep_m	Ubiquinone synthesis
2dp6mobq_m	Ubiquinone synthesis
2dp6mobq_m	Ubiquinone synthesis
2dp6mobq_me_m	Ubiquinone synthesis
2dp6mobq_me_m	Ubiquinone synthesis
2dpmhobq_m	Ubiquinone synthesis
2dpmhobq_m	Ubiquinone synthesis
2dr1p_c	Purine catabolism
2dr1p_c	Purine catabolism
2dr1p_c	Pentose phosphate pathway
2dr1p_c	Purine catabolism
2dr1p_c	Pyrimidine catabolism
2dr1p_c	Pyrimidine catabolism
2dr1p_c	Nucleotide interconversion
2dr5p_c	Pentose phosphate pathway
2dr5p_c	Pentose phosphate pathway
2dr5p_c	Pentose phosphate pathway
2hb_c	Transport, extracellular
2hb_c	Transport, extracellular
2hb_c	Transport, extracellular
2hb_c	Transport, extracellular
2hb_c	Transport, extracellular
2hb_c	Transport, extracellular
2hb_c	Transport, extracellular
2hb_c	Transport, extracellular
2hb_c	Transport, extracellular
2hb_c	Transport, extracellular
2hb_c	Transport, extracellular
2hb_c	Propanoate metabolism
2hb_e	Transport, extracellular
2hb_e	Transport, extracellular
2hb_e	Transport, extracellular
2hb_e	Transport, extracellular
2hb_e	Transport, extracellular
2hb_e	Transport, extracellular
2hb_e	Transport, extracellular
2hb_e	Transport, extracellular
2hb_e	Transport, extracellular
2hb_e	Exchange/demand reaction
2hb_e	Transport, extracellular
2hb_e	Transport, extracellular
2hexdtetcoa_m	Fatty acid oxidation
2hexdtetcoa_m	Fatty acid oxidation
2hexdtetcoa_x	Fatty acid oxidation
2hexdtetcoa_x	Fatty acid oxidation
2hexdtricoa_m	Fatty acid oxidation
2hexdtricoa_m	Fatty acid oxidation
2hexdtricoa_x	Fatty acid oxidation
2hexdtricoa_x	Fatty acid oxidation
2kmb_c	Arginine and Proline Metabolism
2kmb_c	Arginine and Proline Metabolism
2kmb_c	Arginine and Proline Metabolism
2maacoa_m	Valine, leucine, and isoleucine metabolism
2maacoa_m	Valine, leucine, and isoleucine metabolism
2mb2coa_c	Fatty acid oxidation
2mb2coa_c	Fatty acid oxidation
2mb2coa_m	Valine, leucine, and isoleucine metabolism
2mb2coa_m	Valine, leucine, and isoleucine metabolism
2mb2coa_m	Valine, leucine, and isoleucine metabolism
2mb2coa_m	Fatty acid oxidation
2mbcoa_m	Valine, leucine, and isoleucine metabolism
2mbcoa_m	Valine, leucine, and isoleucine metabolism
2mbcoa_m	
2mbcoa_m	Valine, leucine, and isoleucine metabolism
2mcit_c	Propanoate metabolism
2mcit_c	Transport, extracellular
2mcit_e	Exchange/demand reaction
2mcit_e	Transport, extracellular
2mop_c	
2mop_c	
2mop_m	Pyrimidine catabolism
2mop_m	Valine, leucine, and isoleucine metabolism
2mop_m	Valine, leucine, and isoleucine metabolism
2mop_m	Pyrimidine catabolism
2mop_m	Valine, leucine, and isoleucine metabolism
2mop_m	Valine, leucine, and isoleucine metabolism
2mop_m	Valine, leucine, and isoleucine metabolism
2mp2coa_m	Valine, leucine, and isoleucine metabolism
2mp2coa_m	Valine, leucine, and isoleucine metabolism
2mp2coa_m	Valine, leucine, and isoleucine metabolism
2mp2coa_m	Valine, leucine, and isoleucine metabolism
2mpdhl_m	Valine, leucine, and isoleucine metabolism
2mpdhl_m	
2obut_c	Transport, mitochondrial
2obut_c	Methionine and cysteine metabolism
2obut_c	Transport, mitochondrial
2obut_c	Glycine, serine, alanine and threonine metabolism
2obut_c	Glycine, serine, alanine and threonine metabolism
2obut_c	Propanoate metabolism
2obut_m	Transport, mitochondrial
2obut_m	Propanoate metabolism
2obut_m	Transport, mitochondrial
2octdectecoa_m	Fatty acid oxidation
2octdectecoa_m	Fatty acid oxidation
